id,parent_id,code,description,level
block:C08,chapter:C,C08,Block C08,block
block:C09,chapter:C,C09,Block C09,block
block:C10,chapter:C,C10,Block C10,block
block:C11,chapter:C,C11,Block C11,block
block:C12,chapter:C,C12,Block C12,block
block:C13,chapter:C,C13,Block C13,block
block:C14,chapter:C,C14,Block C14,block
block:C15,chapter:C,C15,Block C15,block
block:C16,chapter:C,C16,Block C16,block
block:C17,chapter:C,C17,Block C17,block
block:C18,chapter:C,C18,Block C18,block
block:C19,chapter:C,C19,Block C19,block
block:C20,chapter:C,C20,Block C20,block
block:C21,chapter:C,C21,Block C21,block
block:C22,chapter:C,C22,Block C22,block
block:C23,chapter:C,C23,Block C23,block
block:C24,chapter:C,C24,Block C24,block
block:C25,chapter:C,C25,Block C25,block
block:C26,chapter:C,C26,Block C26,block
block:C30,chapter:C,C30,Block C30,block
block:C31,chapter:C,C31,Block C31,block
block:C32,chapter:C,C32,Block C32,block
block:C33,chapter:C,C33,Block C33,block
block:C34,chapter:C,C34,Block C34,block
block:C37,chapter:C,C37,Block C37,block
block:C38,chapter:C,C38,Block C38,block
block:C39,chapter:C,C39,Block C39,block
block:C40,chapter:C,C40,Block C40,block
block:C41,chapter:C,C41,Block C41,block
block:C43,chapter:C,C43,Block C43,block
block:C44,chapter:C,C44,Block C44,block
block:C45,chapter:C,C45,Block C45,block
block:C46,chapter:C,C46,Block C46,block
block:C47,chapter:C,C47,Block C47,block
block:C48,chapter:C,C48,Block C48,block
block:C49,chapter:C,C49,Block C49,block
block:C50,chapter:C,C50,Block C50,block
block:C51,chapter:C,C51,Block C51,block
block:C52,chapter:C,C52,Block C52,block
block:C53,chapter:C,C53,Block C53,block
block:C54,chapter:C,C54,Block C54,block
block:C55,chapter:C,C55,Block C55,block
block:C56,chapter:C,C56,Block C56,block
block:C57,chapter:C,C57,Block C57,block
block:C58,chapter:C,C58,Block C58,block
block:C60,chapter:C,C60,Block C60,block
block:C61,chapter:C,C61,Block C61,block
block:C62,chapter:C,C62,Block C62,block
block:C63,chapter:C,C63,Block C63,block
block:C64,chapter:C,C64,Block C64,block
block:C65,chapter:C,C65,Block C65,block
block:C66,chapter:C,C66,Block C66,block
block:C67,chapter:C,C67,Block C67,block
block:C68,chapter:C,C68,Block C68,block
block:C69,chapter:C,C69,Block C69,block
block:C70,chapter:C,C70,Block C70,block
block:C71,chapter:C,C71,Block C71,block
block:C72,chapter:C,C72,Block C72,block
block:C73,chapter:C,C73,Block C73,block
block:C74,chapter:C,C74,Block C74,block
block:C75,chapter:C,C75,Block C75,block
block:C76,chapter:C,C76,Block C76,block
block:C77,chapter:C,C77,Block C77,block
block:C78,chapter:C,C78,Block C78,block
block:C79,chapter:C,C79,Block C79,block
block:C80,chapter:C,C80,Block C80,block
block:C81,chapter:C,C81,Block C81,block
block:C82,chapter:C,C82,Block C82,block
block:C83,chapter:C,C83,Block C83,block
block:C84,chapter:C,C84,Block C84,block
block:C85,chapter:C,C85,Block C85,block
block:C88,chapter:C,C88,Block C88,block
block:C90,chapter:C,C90,Block C90,block
block:C91,chapter:C,C91,Block C91,block
block:C92,chapter:C,C92,Block C92,block
block:C93,chapter:C,C93,Block C93,block
block:C94,chapter:C,C94,Block C94,block
block:C95,chapter:C,C95,Block C95,block
block:C96,chapter:C,C96,Block C96,block
block:C97,chapter:C,C97,Block C97,block
block:D00,chapter:D,D00,Block D00,block
block:D01,chapter:D,D01,Block D01,block
block:D02,chapter:D,D02,Block D02,block
block:D03,chapter:D,D03,Block D03,block
block:D04,chapter:D,D04,Block D04,block
block:D05,chapter:D,D05,Block D05,block
block:D06,chapter:D,D06,Block D06,block
